ProfileID,Age,Gender,Region,EducationLevel,FieldOfStudy,ExperienceYears,YearsSinceGraduation,DigitalSkillLevel,EnglishLevel,CurrentEmploymentStatus,DesiredIndustry,PreferredJobType,TechnicalSkills,SoftSkills,CertificationsCount
238,27,Female,Zanzibar Urban/West,Diploma,Finance,4,7,Medium,Basic,Unemployed,Trade,Field,"English communication, Quality control, Logistics coordination","Resilience, Customer focus",1
239,19,Female,Mtwara,Secondary,Arts,0,0,Low,Intermediate,Unemployed,Tourism,Office,"Project management, Digital marketing","Adaptability, Leadership, Time management",1
240,20,Male,Manyara,Bachelor,Finance,0,1,High,Intermediate,Full-time,Construction,Office,"Accounting, Data analysis","Communication, Leadership",0
241,25,Male,Rukwa,Higher Diploma,Health,0,1,High,Basic,Part-time,Healthcare,Customer-facing,"Programming (Python), Accounting, Digital marketing","Communication, Time management",2
242,25,Female,Pemba South,Higher Diploma,Information Technology,3,4,Low,Basic,Internship,Education,Office,"Customer service, Programming (Python), Graphic design","Problem solving, Leadership, Adaptability",1
243,25,Female,Zanzibar Urban/West,Diploma,Arts,8,8,High,Intermediate,Unemployed,Banking,Remote,"Graphic design, Sales, Customer service, Social media management","Communication, Teamwork, Time management",1
244,27,Male,Iringa,Higher Diploma,Health,0,0,Medium,Basic,Internship,Education,Field,"Digital marketing, Accounting, Programming (Python)","Creativity, Teamwork",2
245,24,Female,Mara,Diploma,Health,3,5,Medium,Basic,Unemployed,Agriculture,Customer-facing,"Quality control, Web development","Leadership, Resilience, Adaptability",1
246,29,Male,Mara,Vocational/Technical,Agriculture,8,9,High,Intermediate,Part-time,Construction,Customer-facing,"Data analysis, Inventory management, Network support","Communication, Creativity",2
247,21,Male,Kigoma,Secondary,Agriculture,3,4,Low,Basic,Unemployed,Tourism,Customer-facing,"Sales, Inventory management","Communication, Teamwork",0
248,20,Male,Mwanza,Secondary,Logistics,0,0,Medium,Advanced,Full-time,Transport,Customer-facing,"Database management, Customer service","Communication, Adaptability",2
249,20,Male,Kigoma,Bachelor,Business,2,2,High,Intermediate,Full-time,Manufacturing,Customer-facing,"Graphic design, Inventory management","Problem solving, Adaptability",1
250,27,Male,Rukwa,No formal qualification,Hospitality,2,9,Medium,Intermediate,Internship,ICT,Customer-facing,"Web development, Social media management, Sales, Mechanical maintenance","Leadership, Critical thinking",1
251,21,Male,Manyara,Vocational/Technical,Hospitality,1,2,Medium,Intermediate,Informal work,Banking,Field,"Logistics coordination, Graphic design, Network support, Project management","Resilience, Customer focus, Critical thinking",0
252,24,Male,Lindi,Higher Diploma,Information Technology,1,2,High,Advanced,Unemployed,Banking,Remote,"Project management, Logistics coordination, Inventory management, Microsoft Office","Communication, Resilience",1
253,25,Female,Mbeya,Vocational/Technical,Education,0,4,Medium,Intermediate,Unemployed,Manufacturing,Customer-facing,"Mechanical maintenance, Quality control, Sales","Communication, Critical thinking, Problem solving",2
254,22,Male,Dar es Salaam,Secondary,Education,0,0,Medium,Advanced,Informal work,Tourism,Remote,"Inventory management, Programming (Python), Accounting","Creativity, Leadership",2
255,28,Male,Katavi,No formal qualification,Engineering,0,1,Medium,Intermediate,Self-employed,Banking,Remote,"Food preparation, Programming (Python), Logistics coordination","Time management, Problem solving, Critical thinking",1
256,22,Female,Mbeya,Secondary,Information Technology,1,1,Medium,Intermediate,Full-time,Transport,Field,"Digital marketing, Project management","Creativity, Problem solving, Leadership",2
257,24,Male,Shinyanga,No formal qualification,Engineering,1,4,Low,Intermediate,Informal work,Healthcare,Field,"Programming (Python), Customer service, Graphic design","Teamwork, Problem solving, Leadership",2
258,25,Female,Shinyanga,Bachelor,Engineering,0,4,Medium,Advanced,Unemployed,Healthcare,Remote,"Graphic design, Logistics coordination, Teaching support","Leadership, Customer focus",2
259,22,Female,Songwe,Vocational/Technical,Agriculture,4,5,High,Basic,Unemployed,ICT,Customer-facing,"Web development, Data analysis","Critical thinking, Time management",2
260,19,Male,Dar es Salaam,Higher Diploma,Arts,1,2,High,Intermediate,Informal work,Manufacturing,Customer-facing,"Teaching support, Logistics coordination, Digital marketing","Adaptability, Leadership",3
261,25,Female,Pemba North,Secondary,Education,0,2,Medium,Intermediate,Full-time,Education,Customer-facing,"Project management, Network support","Leadership, Time management",1
262,22,Male,Simiyu,No formal qualification,Engineering,0,0,Medium,Intermediate,Informal work,Education,Office,"Food preparation, Microsoft Office","Time management, Creativity, Resilience",1
263,19,Male,Tanga,Vocational/Technical,Logistics,0,0,Medium,Advanced,Informal work,Tourism,Field,"Food preparation, Mechanical maintenance, Accounting, Digital marketing","Teamwork, Creativity",2
264,21,Male,Shinyanga,Diploma,Arts,3,3,Medium,Intermediate,Informal work,Construction,Field,"Sales, Microsoft Office","Communication, Time management",2
265,23,Male,Pemba South,Higher Diploma,Finance,3,6,High,Advanced,Part-time,Banking,Field,"Quality control, Teaching support, Microsoft Office","Adaptability, Customer focus",0
266,24,Male,Pwani,Bachelor,Agriculture,1,3,Low,Basic,Informal work,Healthcare,Office,"Accounting, Web development, Customer service, Social media management","Communication, Critical thinking, Creativity",1
267,18,Male,Tabora,Higher Diploma,Business,0,0,Low,Basic,Part-time,Trade,Field,"Web development, Network support, English communication","Resilience, Teamwork, Critical thinking",1
268,25,Male,Pemba North,Bachelor,Health,7,7,High,Intermediate,Self-employed,ICT,Field,"Social media management, Accounting, Web development","Teamwork, Resilience",1
269,25,Male,Kagera,No formal qualification,Engineering,2,2,Medium,Basic,Internship,Banking,Remote,"Network support, Inventory management, Mechanical maintenance, Teaching support","Communication, Teamwork, Creativity",1
270,24,Female,Songwe,Higher Diploma,Health,0,0,Medium,Intermediate,Informal work,Construction,Field,"Microsoft Office, Graphic design","Customer focus, Time management",0
271,23,Female,Dar es Salaam,Bachelor,Engineering,0,1,Medium,Intermediate,Part-time,Manufacturing,Remote,"Logistics coordination, Project management","Communication, Teamwork",0
272,23,Male,Katavi,Bachelor,Finance,4,5,Low,Basic,Informal work,Trade,Remote,"Mechanical maintenance, Teaching support, English communication","Resilience, Creativity",3
273,20,Female,Tanga,Bachelor,Hospitality,0,3,High,Basic,Full-time,Construction,Customer-facing,"Social media management, Inventory management, Graphic design, Logistics coordination","Problem solving, Leadership",3
274,28,Male,Tabora,Bachelor,Finance,3,4,Medium,Basic,Full-time,ICT,Customer-facing,"Teaching support, Food preparation","Leadership, Resilience, Customer focus",2
275,23,Female,Zanzibar Urban/West,Higher Diploma,Agriculture,0,5,Medium,Basic,Full-time,Tourism,Office,"Accounting, Database management","Communication, Adaptability",2
276,23,Male,Njombe,Vocational/Technical,Engineering,4,4,Medium,Basic,Full-time,Banking,Office,"Food preparation, Data analysis, Mechanical maintenance, Graphic design","Creativity, Resilience, Leadership",2
277,19,Female,Dodoma,Secondary,Engineering,1,1,Low,Intermediate,Internship,Transport,Customer-facing,"Accounting, Logistics coordination, Food preparation, Data analysis","Customer focus, Creativity",2
278,19,Female,Pemba North,Vocational/Technical,Arts,0,0,Low,Intermediate,Informal work,ICT,Office,"Teaching support, Sales","Creativity, Communication, Time management",1
279,19,Female,Katavi,Vocational/Technical,Information Technology,1,2,High,Intermediate,Self-employed,Education,Remote,"Inventory management, Data analysis, Quality control","Adaptability, Creativity",3
280,27,Male,Pwani,Higher Diploma,Finance,0,1,High,Basic,Part-time,Transport,Remote,"English communication, Programming (Python)","Creativity, Resilience",3
281,28,Male,Rukwa,No formal qualification,Information Technology,2,3,High,Basic,Full-time,Healthcare,Remote,"Microsoft Office, Mechanical maintenance, Project management","Communication, Leadership",1
282,24,Male,Geita,Secondary,Education,1,4,Low,Advanced,Full-time,Agriculture,Remote,"Teaching support, Accounting, Logistics coordination","Communication, Teamwork, Customer focus",1
283,26,Female,Geita,Higher Diploma,Health,8,9,Medium,Intermediate,Part-time,Banking,Customer-facing,"Graphic design, Logistics coordination, Digital marketing","Customer focus, Teamwork, Problem solving",2
284,24,Male,Mbeya,Vocational/Technical,Health,7,7,High,Basic,Informal work,ICT,Customer-facing,"Network support, Mechanical maintenance, Accounting","Resilience, Customer focus, Communication",0
285,21,Male,Njombe,Diploma,Education,4,4,High,Basic,Internship,Manufacturing,Customer-facing,"Digital marketing, English communication, Logistics coordination, Web development","Customer focus, Critical thinking, Adaptability",2
286,23,Female,Kagera,Higher Diploma,Finance,1,1,Low,Intermediate,Internship,Transport,Field,"Digital marketing, Food preparation","Problem solving, Resilience, Creativity",1
287,24,Female,Manyara,Higher Diploma,Hospitality,2,6,Medium,Intermediate,Self-employed,Agriculture,Remote,"Microsoft Office, Web development","Critical thinking, Resilience, Adaptability",1
288,23,Female,Geita,Diploma,Finance,2,5,Low,Advanced,Internship,Banking,Remote,"Data analysis, Inventory management, Network support, Microsoft Office","Communication, Creativity, Customer focus",0
289,24,Male,Iringa,Diploma,Logistics,5,6,Medium,Intermediate,Part-time,Transport,Field,"Mechanical maintenance, Quality control, Microsoft Office, Graphic design","Creativity, Critical thinking, Teamwork",1
290,21,Female,Morogoro,Higher Diploma,Information Technology,0,0,Medium,Intermediate,Part-time,Agriculture,Remote,"Social media management, Web development","Customer focus, Teamwork, Resilience",1
291,23,Male,Iringa,Higher Diploma,Business,1,3,Medium,Basic,Informal work,ICT,Customer-facing,"Programming (Python), Food preparation","Creativity, Problem solving, Resilience",3
292,26,Female,Ruvuma,Bachelor,Information Technology,3,4,Medium,Intermediate,Full-time,Education,Office,"Digital marketing, Logistics coordination, English communication, Programming (Python)","Leadership, Communication, Resilience",1
293,18,Female,Zanzibar Urban/West,Diploma,Hospitality,0,1,High,Advanced,Internship,ICT,Customer-facing,"Quality control, Food preparation","Customer focus, Communication",2
294,26,Male,Singida,Higher Diploma,Health,1,7,High,Basic,Internship,Construction,Field,"Project management, Teaching support, Food preparation, Data analysis","Customer focus, Teamwork",3
295,22,Female,Dar es Salaam,Diploma,Finance,1,1,High,Intermediate,Self-employed,Manufacturing,Field,"Microsoft Office, Quality control, Social media management, Network support","Resilience, Teamwork",1
296,24,Female,Morogoro,Diploma,Information Technology,0,1,High,Intermediate,Unemployed,Transport,Field,"Network support, Quality control, Project management","Leadership, Critical thinking",0
297,27,Male,Mara,Higher Diploma,Business,5,8,Low,Intermediate,Informal work,Construction,Customer-facing,"Project management, Sales, Teaching support","Resilience, Adaptability, Leadership",1
298,22,Male,Shinyanga,Higher Diploma,Arts,0,0,High,Basic,Self-employed,Healthcare,Customer-facing,"English communication, Project management","Communication, Customer focus",2
299,27,Female,Katavi,Diploma,Education,0,1,Low,Basic,Full-time,ICT,Field,"Mechanical maintenance, Project management","Resilience, Problem solving, Customer focus",3
300,22,Male,Shinyanga,Diploma,Education,2,5,High,Intermediate,Unemployed,Trade,Office,"Accounting, Programming (Python), Project management","Teamwork, Resilience, Problem solving",1
301,24,Male,Pemba South,Higher Diploma,Logistics,1,6,Medium,Basic,Part-time,Construction,Remote,"Digital marketing, Teaching support","Resilience, Communication, Customer focus",0
302,26,Female,Geita,Diploma,Hospitality,1,4,Medium,Advanced,Full-time,Transport,Office,"Social media management, Network support, Digital marketing","Communication, Critical thinking",3
303,18,Female,Singida,Vocational/Technical,Arts,1,1,High,Advanced,Full-time,Banking,Customer-facing,"Web development, English communication","Teamwork, Leadership",0
304,21,Male,Zanzibar Urban/West,Vocational/Technical,Business,0,3,Medium,Intermediate,Self-employed,Healthcare,Field,"Programming (Python), Graphic design","Customer focus, Adaptability",1
305,21,Male,Tanga,Bachelor,Engineering,0,3,High,Basic,Internship,Trade,Office,"Graphic design, Inventory management","Leadership, Teamwork, Adaptability",3
306,20,Male,Zanzibar South,Secondary,Agriculture,0,0,Low,Intermediate,Unemployed,Agriculture,Remote,"Programming (Python), English communication","Resilience, Teamwork",2
307,26,Male,Mara,No formal qualification,Agriculture,0,1,Medium,Advanced,Informal work,Tourism,Customer-facing,"Food preparation, Logistics coordination","Creativity, Adaptability",2
308,25,Male,Kagera,Higher Diploma,Agriculture,1,2,High,Intermediate,Self-employed,Education,Remote,"Sales, Network support","Communication, Resilience",0
309,22,Female,Mbeya,Vocational/Technical,Education,3,5,Medium,Basic,Full-time,Transport,Office,"Customer service, Mechanical maintenance, Programming (Python)","Resilience, Problem solving",2
310,19,Female,Njombe,Higher Diploma,Engineering,0,0,High,Intermediate,Self-employed,Banking,Field,"Graphic design, Project management, Programming (Python)","Problem solving, Teamwork",2
311,26,Male,Dodoma,Higher Diploma,Arts,2,5,High,Basic,Full-time,Healthcare,Remote,"Programming (Python), Logistics coordination","Teamwork, Communication",1
312,28,Female,Pemba North,Diploma,Arts,8,9,Medium,Basic,Full-time,Banking,Field,"Accounting, Customer service","Adaptability, Critical thinking",2
313,26,Male,Lindi,Higher Diploma,Engineering,1,6,High,Intermediate,Self-employed,Banking,Field,"Graphic design, Database management, Project management","Creativity, Teamwork",0
314,25,Male,Ruvuma,Higher Diploma,Health,7,7,Medium,Intermediate,Unemployed,Construction,Field,"Teaching support, Mechanical maintenance, Logistics coordination, Customer service","Critical thinking, Leadership",1
315,24,Female,Zanzibar Urban/West,Diploma,Agriculture,1,3,Medium,Intermediate,Informal work,ICT,Field,"Data analysis, Social media management, Programming (Python), Logistics coordination","Leadership, Communication, Critical thinking",1
316,21,Female,Songwe,Secondary,Hospitality,0,1,Medium,Basic,Internship,Education,Field,"English communication, Customer service, Digital marketing","Resilience, Time management",0
317,23,Male,Zanzibar Urban/West,Secondary,Agriculture,1,6,Low,Intermediate,Internship,Banking,Office,"Data analysis, Digital marketing, Network support, Accounting","Time management, Critical thinking",2
318,22,Male,Rukwa,No formal qualification,Arts,2,2,Low,Intermediate,Informal work,Banking,Remote,"Network support, Database management","Customer focus, Communication, Creativity",1
319,25,Female,Mwanza,Secondary,Hospitality,3,7,Low,Intermediate,Unemployed,Construction,Office,"Programming (Python), Digital marketing, Database management","Resilience, Customer focus, Problem solving",1
320,25,Male,Pwani,Vocational/Technical,Logistics,0,1,Low,Intermediate,Self-employed,Agriculture,Customer-facing,"Sales, Mechanical maintenance","Problem solving, Teamwork, Resilience",0
321,21,Female,Mwanza,Secondary,Finance,1,1,Medium,Intermediate,Full-time,Construction,Field,"Data analysis, Customer service","Critical thinking, Creativity, Leadership",1
322,29,Male,Zanzibar South,No formal qualification,Engineering,1,4,Low,Basic,Unemployed,Construction,Remote,"Database management, English communication","Teamwork, Customer focus, Time management",1
323,24,Male,Morogoro,Bachelor,Health,1,2,High,Basic,Full-time,Trade,Customer-facing,"Microsoft Office, Database management, Web development","Leadership, Time management",0
324,24,Male,Singida,Diploma,Business,5,7,High,Advanced,Full-time,Transport,Customer-facing,"English communication, Quality control, Teaching support, Microsoft Office","Creativity, Problem solving, Resilience",3
325,23,Female,Shinyanga,No formal qualification,Hospitality,1,1,Medium,Basic,Full-time,Education,Field,"Graphic design, Data analysis, Digital marketing","Problem solving, Leadership, Critical thinking",1
326,23,Female,Tanga,Secondary,Education,0,0,Medium,Intermediate,Part-time,Tourism,Customer-facing,"English communication, Database management","Time management, Resilience, Problem solving",1
327,24,Female,Mtwara,Diploma,Engineering,5,6,Low,Basic,Full-time,Manufacturing,Field,"English communication, Quality control","Problem solving, Critical thinking, Customer focus",0
328,21,Female,Simiyu,Secondary,Health,1,4,High,Advanced,Unemployed,Healthcare,Remote,"Food preparation, English communication, Quality control","Adaptability, Communication, Leadership",0
329,26,Female,Tabora,Vocational/Technical,Agriculture,1,2,Low,Intermediate,Self-employed,Construction,Office,"Teaching support, Database management","Customer focus, Critical thinking, Time management",2
330,26,Female,Pwani,Vocational/Technical,Agriculture,0,9,Low,Basic,Self-employed,Banking,Office,"Microsoft Office, Database management, Mechanical maintenance, Programming (Python)","Creativity, Critical thinking, Customer focus",0
331,18,Female,Katavi,Higher Diploma,Health,0,0,Medium,Advanced,Informal work,Construction,Customer-facing,"Database management, Sales, Logistics coordination, Teaching support","Communication, Teamwork",1
332,23,Female,Iringa,Secondary,Health,0,1,High,Intermediate,Informal work,Transport,Remote,"Web development, Digital marketing, Sales","Communication, Resilience",1
333,26,Male,Dodoma,Diploma,Logistics,1,5,Medium,Basic,Internship,Education,Field,"Microsoft Office, Customer service, English communication, Teaching support","Teamwork, Problem solving",1
334,21,Male,Pemba South,Diploma,Hospitality,0,3,High,Basic,Full-time,ICT,Remote,"Sales, Project management, Programming (Python)","Time management, Communication",2
335,25,Male,Manyara,Higher Diploma,Engineering,0,5,High,Advanced,Informal work,ICT,Customer-facing,"Mechanical maintenance, Inventory management, Customer service","Problem solving, Communication",1
336,29,Female,Kigoma,Bachelor,Business,0,8,Low,Basic,Unemployed,Transport,Office,"Food preparation, Mechanical maintenance, Web development","Teamwork, Creativity",3
337,23,Female,Singida,Bachelor,Health,0,0,High,Basic,Internship,Construction,Remote,"Accounting, Quality control","Critical thinking, Time management",1
338,24,Male,Geita,Vocational/Technical,Engineering,2,6,Low,Intermediate,Informal work,Healthcare,Customer-facing,"Data analysis, Quality control","Critical thinking, Resilience",1
339,20,Female,Njombe,Bachelor,Business,0,1,Medium,Basic,Unemployed,Tourism,Remote,"Social media management, Quality control","Customer focus, Time management, Critical thinking",1
340,26,Female,Iringa,Vocational/Technical,Finance,1,7,High,Intermediate,Unemployed,Agriculture,Remote,"Programming (Python), Digital marketing","Communication, Teamwork, Critical thinking",2
341,22,Female,Songwe,Higher Diploma,Education,3,4,Low,Basic,Full-time,Healthcare,Customer-facing,"Accounting, Logistics coordination, Food preparation, Data analysis","Critical thinking, Problem solving",1
342,22,Male,Pwani,Secondary,Logistics,0,0,High,Intermediate,Internship,Agriculture,Office,"Microsoft Office, English communication, Network support","Problem solving, Resilience, Leadership",1
343,20,Female,Mbeya,Bachelor,Logistics,1,2,Medium,Basic,Self-employed,Banking,Customer-facing,"Food preparation, Data analysis, Accounting, Network support","Critical thinking, Creativity",3
344,25,Female,Ruvuma,Diploma,Business,1,3,Medium,Intermediate,Informal work,Manufacturing,Customer-facing,"Accounting, Mechanical maintenance","Leadership, Creativity",0
345,25,Male,Njombe,Diploma,Agriculture,0,0,Medium,Intermediate,Full-time,Healthcare,Remote,"Graphic design, Accounting, Quality control, Inventory management","Teamwork, Time management, Creativity",3
346,22,Female,Zanzibar Urban/West,Bachelor,Agriculture,1,4,High,Basic,Informal work,Tourism,Field,"Digital marketing, Food preparation, Sales, Accounting","Problem solving, Leadership, Resilience",1
347,22,Female,Pemba South,Diploma,Hospitality,2,3,High,Intermediate,Full-time,Healthcare,Field,"Inventory management, Mechanical maintenance","Adaptability, Resilience, Time management",3
348,21,Male,Morogoro,Diploma,Arts,0,0,Medium,Basic,Self-employed,Construction,Office,"Accounting, Digital marketing, Graphic design","Time management, Customer focus, Teamwork",1
349,24,Male,Simiyu,Vocational/Technical,Logistics,3,4,Medium,Advanced,Part-time,Trade,Field,"Project management, Microsoft Office","Time management, Customer focus",2
350,24,Male,Pwani,Bachelor,Hospitality,0,7,High,Advanced,Unemployed,Construction,Remote,"Database management, Digital marketing, Network support","Adaptability, Problem solving",1
351,29,Female,Mtwara,Vocational/Technical,Finance,0,1,Medium,Intermediate,Unemployed,ICT,Office,"Customer service, Social media management, Graphic design, Microsoft Office","Teamwork, Adaptability",3
352,21,Male,Zanzibar South,Bachelor,Logistics,0,0,Medium,Intermediate,Self-employed,Transport,Office,"Customer service, Project management, Microsoft Office","Resilience, Creativity, Time management",0
353,21,Male,Pemba South,Vocational/Technical,Health,3,4,Medium,Advanced,Unemployed,Manufacturing,Field,"Network support, Data analysis, Teaching support","Time management, Problem solving, Adaptability",1
354,18,Female,Shinyanga,No formal qualification,Business,0,1,High,Basic,Internship,Healthcare,Office,"Social media management, Accounting, Teaching support, Sales","Time management, Leadership",0
355,23,Male,Songwe,Higher Diploma,Hospitality,0,0,Medium,Intermediate,Self-employed,Tourism,Field,"English communication, Accounting, Digital marketing, Sales","Adaptability, Leadership",2
356,20,Male,Arusha,Diploma,Logistics,1,2,Medium,Intermediate,Unemployed,ICT,Customer-facing,"Graphic design, Digital marketing, Social media management","Teamwork, Critical thinking, Leadership",3
357,27,Female,Katavi,No formal qualification,Health,1,1,High,Intermediate,Self-employed,Tourism,Office,"Project management, Microsoft Office, Digital marketing, Database management","Customer focus, Problem solving",0
358,21,Female,Tanga,Bachelor,Arts,0,3,High,Basic,Informal work,Construction,Customer-facing,"Quality control, Network support, Microsoft Office, Social media management","Customer focus, Adaptability",3
359,21,Female,Tabora,Higher Diploma,Education,1,2,High,Intermediate,Unemployed,ICT,Office,"Data analysis, Quality control","Creativity, Critical thinking",2
360,24,Female,Iringa,Diploma,Business,0,4,High,Basic,Unemployed,Education,Office,"Teaching support, Programming (Python), Data analysis","Leadership, Critical thinking, Time management",3
361,25,Female,Tanga,Higher Diploma,Information Technology,5,7,Low,Basic,Unemployed,Transport,Office,"Project management, Sales","Communication, Teamwork, Resilience",2
362,23,Male,Dar es Salaam,Bachelor,Arts,1,2,Medium,Intermediate,Unemployed,Banking,Office,"Accounting, Quality control","Leadership, Resilience",0
363,24,Male,Songwe,Higher Diploma,Finance,6,7,High,Advanced,Part-time,Healthcare,Customer-facing,"Logistics coordination, Quality control, Web development, Food preparation","Teamwork, Problem solving",1
364,26,Female,Arusha,Higher Diploma,Finance,2,2,Medium,Basic,Informal work,ICT,Field,"Data analysis, Inventory management, Mechanical maintenance, Social media management","Adaptability, Resilience",2
365,21,Female,Mara,Secondary,Logistics,0,4,Low,Basic,Self-employed,Healthcare,Office,"Project management, Data analysis, Accounting, Programming (Python)","Creativity, Teamwork, Adaptability",2
366,19,Female,Zanzibar Urban/West,Diploma,Education,2,2,Medium,Intermediate,Self-employed,Tourism,Remote,"Graphic design, Mechanical maintenance","Critical thinking, Time management, Teamwork",0
367,22,Female,Simiyu,Bachelor,Education,1,4,Medium,Basic,Unemployed,Education,Office,"Network support, Quality control, Project management","Problem solving, Critical thinking, Creativity",2
368,18,Female,Zanzibar South,Higher Diploma,Arts,1,1,Medium,Intermediate,Internship,Healthcare,Remote,"Web development, Social media management, Digital marketing","Time management, Teamwork, Leadership",2
369,21,Male,Zanzibar South,Higher Diploma,Education,0,0,Medium,Intermediate,Part-time,Healthcare,Customer-facing,"Project management, Food preparation, Digital marketing","Problem solving, Resilience",0
370,23,Male,Mtwara,Higher Diploma,Business,2,3,Medium,Intermediate,Internship,Healthcare,Customer-facing,"Mechanical maintenance, Graphic design, Teaching support","Customer focus, Time management",2
371,26,Male,Zanzibar South,Higher Diploma,Logistics,7,7,Medium,Advanced,Informal work,ICT,Office,"Teaching support, Database management, Network support","Problem solving, Teamwork, Leadership",0
372,23,Male,Pemba North,Diploma,Engineering,0,1,High,Intermediate,Full-time,Tourism,Field,"English communication, Web development","Resilience, Critical thinking",0
373,23,Female,Njombe,Secondary,Business,0,0,Medium,Basic,Full-time,Tourism,Remote,"Data analysis, Sales, Social media management","Resilience, Leadership, Time management",0
374,20,Male,Kagera,No formal qualification,Finance,1,3,Medium,Intermediate,Part-time,Banking,Remote,"Social media management, Quality control, Sales","Customer focus, Creativity, Resilience",2
375,23,Male,Singida,Secondary,Health,1,4,Medium,Intermediate,Informal work,Healthcare,Field,"Network support, Social media management, Database management","Teamwork, Adaptability, Time management",2
376,20,Female,Singida,Higher Diploma,Engineering,0,1,Medium,Basic,Part-time,Healthcare,Customer-facing,"Graphic design, Logistics coordination","Communication, Creativity",3
377,26,Female,Zanzibar Urban/West,Secondary,Health,1,1,Medium,Intermediate,Self-employed,Education,Office,"Accounting, Database management, Programming (Python)","Teamwork, Leadership, Problem solving",2
378,28,Female,Tanga,Bachelor,Agriculture,0,1,Low,Intermediate,Informal work,Manufacturing,Remote,"Sales, Mechanical maintenance, Teaching support, Graphic design","Teamwork, Time management, Resilience",2
379,25,Female,Mbeya,Diploma,Arts,0,1,Medium,Intermediate,Internship,Education,Office,"English communication, Inventory management, Mechanical maintenance","Time management, Creativity",2
380,25,Female,Morogoro,Higher Diploma,Engineering,6,8,Low,Basic,Part-time,Tourism,Office,"Database management, Data analysis, Web development, Microsoft Office","Leadership, Problem solving",0
381,20,Male,Tabora,Higher Diploma,Education,0,1,Low,Advanced,Internship,Transport,Customer-facing,"Network support, Logistics coordination, English communication","Creativity, Communication, Time management",3
382,24,Female,Pwani,Secondary,Information Technology,3,3,Medium,Advanced,Internship,Tourism,Field,"Digital marketing, Programming (Python), Logistics coordination","Critical thinking, Teamwork, Time management",1
383,23,Male,Mwanza,Higher Diploma,Information Technology,4,6,Medium,Basic,Internship,Tourism,Remote,"Programming (Python), Database management, Project management, Inventory management","Problem solving, Communication, Customer focus",1
384,21,Male,Zanzibar South,Bachelor,Information Technology,4,4,Medium,Advanced,Full-time,ICT,Field,"English communication, Teaching support, Microsoft Office","Leadership, Adaptability, Problem solving",1
385,21,Female,Simiyu,Secondary,Education,0,3,High,Intermediate,Self-employed,Education,Office,"Database management, Inventory management","Customer focus, Leadership, Critical thinking",2
386,23,Male,Rukwa,Bachelor,Information Technology,3,5,Medium,Intermediate,Self-employed,Transport,Field,"Web development, Microsoft Office, Inventory management","Adaptability, Resilience",1
387,24,Female,Dar es Salaam,Bachelor,Finance,0,1,Medium,Basic,Full-time,Manufacturing,Customer-facing,"Database management, English communication, Food preparation","Communication, Teamwork, Leadership",2
388,22,Female,Zanzibar South,Bachelor,Hospitality,0,1,Low,Intermediate,Self-employed,Banking,Remote,"Social media management, Quality control","Customer focus, Resilience, Creativity",2
389,24,Male,Tabora,No formal qualification,Logistics,7,7,High,Intermediate,Self-employed,ICT,Office,"Customer service, Network support, Accounting","Resilience, Time management",2
390,24,Male,Lindi,No formal qualification,Arts,4,4,Medium,Intermediate,Self-employed,ICT,Remote,"Inventory management, Graphic design, Quality control, Teaching support","Problem solving, Leadership",0
391,23,Female,Morogoro,Bachelor,Finance,0,3,Low,Intermediate,Part-time,Trade,Office,"Accounting, Social media management","Critical thinking, Communication",2
392,27,Male,Mara,Higher Diploma,Engineering,0,1,High,Basic,Internship,Agriculture,Customer-facing,"Mechanical maintenance, Programming (Python), Accounting","Communication, Customer focus",1
393,21,Male,Mtwara,Vocational/Technical,Arts,0,0,High,Intermediate,Full-time,Healthcare,Office,"Project management, Programming (Python)","Resilience, Leadership, Critical thinking",0
394,24,Male,Mbeya,Bachelor,Business,0,0,Medium,Intermediate,Self-employed,Transport,Field,"Food preparation, Social media management, Web development","Leadership, Adaptability",2
395,28,Male,Ruvuma,Secondary,Business,4,6,Medium,Basic,Part-time,ICT,Customer-facing,"Mechanical maintenance, Data analysis, Programming (Python), Quality control","Customer focus, Time management, Critical thinking",3
396,23,Female,Mara,Vocational/Technical,Arts,0,1,Medium,Intermediate,Self-employed,Agriculture,Customer-facing,"Graphic design, Inventory management, Accounting","Time management, Resilience, Customer focus",1
397,19,Female,Singida,Higher Diploma,Agriculture,0,2,Medium,Basic,Part-time,Trade,Field,"Logistics coordination, Quality control, Network support","Problem solving, Leadership",0
398,24,Female,Kigoma,Vocational/Technical,Agriculture,6,6,Medium,Intermediate,Informal work,Trade,Remote,"Database management, Graphic design, Web development","Adaptability, Communication",2
399,25,Male,Singida,Diploma,Hospitality,1,3,Low,Advanced,Self-employed,Healthcare,Field,"Graphic design, Network support","Time management, Leadership",1
400,19,Female,Arusha,Diploma,Education,2,2,High,Intermediate,Internship,Agriculture,Customer-facing,"Customer service, Inventory management, Project management, Graphic design","Leadership, Time management",2
401,19,Female,Mara,Higher Diploma,Logistics,1,1,Low,Intermediate,Self-employed,Transport,Office,"Database management, Inventory management, Programming (Python)","Communication, Time management",3
402,18,Male,Arusha,Secondary,Health,0,1,Low,Advanced,Informal work,Education,Office,"Customer service, Graphic design","Creativity, Time management",0
403,22,Male,Morogoro,Diploma,Information Technology,1,2,High,Intermediate,Informal work,Trade,Customer-facing,"Customer service, Digital marketing, Web development, Sales","Customer focus, Problem solving, Leadership",3
